cc_number|cc_expiry|cc_provider|cc_ccv|cc_card_type|client_id|token
3537742087513506|05/15|Diners Club / Carte Blanche|958|Gold|7b89296c-6dcb-4c50-8857-7eb1924770d3|1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711
4895867287160073|09/14|Mastercard|814|Gold|66b072b9-e5e2-40be-b621-03b4ac9e9032|f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1
6011969194095519|05/32|Maestro|6592|Platinum|b8d9e5ea-cd14-40eb-9df4-e921b847f03e|38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703
342296286161311|03/14|Discover|652|Platinum|77ddb456-f69b-4ae6-8099-bc4ccf108ed3|5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6
180082009038035|04/32|American Express|625|Platinum|eee230a7-a29c-4ee2-8279-493993672832|eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d
4076550548906472160|12/31|VISA 19 digit|908|Gold|96cd38a3-4c91-4962-957e-8b563f75f88b|ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8
060496022751|12/14|JCB 16 digit|823|Platinum|32f86bf3-49de-4ff8-925c-e443c1d59550|40cbcff3cf5e22fe68e796ffeea51e77cc7020c8dc93f657bad5e9eec21e5867
3500786884995492|07/17|VISA 13 digit|092|Classic|71166ec4-0ea1-4477-a2d4-2f62dde2a319|113d7c37ffa29b98e0d64c5eed85818f9950c25b06055cbe649c7f9592a3e42f
3525057370979205|10/20|JCB 15 digit|9909|Platinum|3170f481-92e4-49c7-97b5-6be929780a77|2e7cd8f2b66dc9894e0fe1103651756488ef77d98ee08b9af75228f0916b8600
30381685480053|06/13|JCB 16 digit|243|Platinum|00248421-8ab1-446d-8e60-209b03fd60ac|903dc969e704110c2285cbcb7a2a7b81280385c51b86e31d4166290888340656
4606264252949886376|11/13|Discover|323|Gold|c199ece5-52f6-49a8-883c-44aea8e1eb72|e2760ae1775c1cde2538bfacd274619fb41cfdf2bbeb6b6f4eba417f7c576ae7
4293170111017710|08/18|VISA 19 digit|2116|Gold|a644e379-2c40-4213-8ecc-4ea719b77f38|1f499d037f3fd4c6befb9ba67f81feb69ad667639246c9cd163be1d87d3e13d1
6011412454983165|09/13|Diners Club / Carte Blanche|428|Gold|e5a06364-2871-432c-924f-96a27ffcbe47|ed3dda15b6a1d8ba737bfeed32b44248fab1a4f070b972ee8dbd89954be0b156
6011366289083569|08/22|Diners Club / Carte Blanche|222|Platinum|ed6a591a-47f1-47fa-803e-b6a213d9a3d6|64658cf06d11f205d1566878cfd22e5b21dd8f82b7e0eb4047bd2546451a7a4a
213167328023668|08/29|Mastercard|657|Gold|6142799a-f048-4d78-b428-16a6c74e1b1f|28c1996c5295c86a7394e2544a5c29dc5df0e9533cdfe55f0bae6088f552b2f6
4480180660001158|02/26|JCB 16 digit|355|Gold|02946815-cc82-4830-afb1-a4bff101e12c|f47cd51ba62e0b9b48805dd8166b2345a73325969393ac1106c5cd5da8ed2f85
342049037554619|08/19|Diners Club / Carte Blanche|227|Classic|33ec7a7d-7be0-453a-bb96-84ef9e8272ee|88a45a77026779b19ee7621426d0800570f4e3e9d3975d8c57011b1be9fcc9f5
676395245019|08/24|Discover|039|Gold|f0692e69-c1fe-4a10-974b-51570f9f0c74|2827bde848599236213ae6173930fc80051919338a1a71496186ab668b9df4af
4680130227811947727|09/20|Diners Club / Carte Blanche|787|Platinum|c8d15e80-b20e-42e3-8c68-e8a1dd90b8b2|262047ce8960d9a3d327e552c87dd8f4cc0d1586af9ee8b4467e90b030cbda8b
4173284128499582|07/27|JCB 15 digit|153|Gold|e0f859e7-75e8-4996-8f4e-2c83824b221d|62f934a67d2bbffd18c48ce37822ed90ce78fc9ad51fa21f51508c2df3613954
676104959710|08/26|VISA 16 digit|986|Platinum|a65ccef9-8ec5-4bb5-b6c0-5515bdfa9a36|c715cf2e75c163e7b2258623adab8ee5a7f6be3a1aa5c35875fd394b7250fece
3572554229759913|03/24|VISA 16 digit|833|Platinum|0c807033-f3b1-44d0-be2f-b00de8a53eb6|20294093ca85cfc273d71b1053a9deddd188038cd1ab79437073dbbd2cb444b5
501820650585|02/29|American Express|076|Gold|31d2eab5-a01c-4130-b0d8-f9c2faf07dd1|fcaf5982f3b8f8fd73109f99f6a353ebc7e253acca69d608a87e79db584c956a
573036890818|07/20|Maestro|017|Gold|87b5fa90-ef8b-43fe-a5db-15572ad5e98f|63fccd0bdbc86900f6fa02f67e6a8b62b8476a3ab66821fea691f957be760845
4390343711868|02/33|Diners Club / Carte Blanche|470|Platinum|d6c4d3af-6be1-40ca-ad5d-6de152efbed3|33ef9b23d3e10bddb0511f50798eab8acb4c55b18f1a193f3e91459ed4e0061c
4225528904772689|07/23|Diners Club / Carte Blanche|836|Gold|d9dadbca-47e0-4ee5-b0d8-522e4c432605|71176093e65128c497c45867933d956548df2a5b3d7459ad25846b7328acb21b
36099816265052|05/18|VISA 13 digit|636|Classic|41fd1812-3e32-4d8f-9935-4146ab0800bb|1418d734fd8c934716ebbfaaf77d02427a1ab82aaaed20411eaa9fe879fbee84
6569485660476311|07/32|Mastercard|6283|Platinum|518175bb-d257-4690-b75d-91a821900add|56a8c1d4e0b138a7e7e8b8dda05cb8498d461a646a146e00a0e40c1e40434721
3536296541787280|03/23|VISA 19 digit|070|Platinum|4dd600e8-210b-4b6d-84dc-ae6de2bd6fbf|b6448dd22c9b2cc44e88e13ab2ce7b98704641304b580b0f70366860b9576697
4651646409449844|08/25|JCB 15 digit|899|Gold|33270b71-0ea7-4fe2-9ce1-bbfb06a5f11b|78f3bf62163e111945ea97301b869865d8e47420151588edcabc944266d86e73
3566144096399734|10/31|American Express|679|Platinum|c39a3841-b64c-4e46-b1ec-b6fc31f66641|dd023f9bb6a806e89a55672356533b7fcd091c6f076d1b58eeb1adc4c1d78038
30055832868317|05/14|Maestro|037|Platinum|5e69dc94-eac1-4120-a63f-c61f69b1e03f|a1850dfe60ac0f273c27d88d3e6a130909076b2032a80dddc74c63b8fb5ed336
36554392957274|09/28|Mastercard|241|Platinum|83922abc-909a-451a-b83f-ffaddb9ab1cc|594d6feb4540aed256dfcaf7c1a4aafd453881131018aa7de4929b677621cc9d
6011523159919542|09/15|American Express|156|Platinum|6a0cd090-30d5-47fb-b14e-8f0c976219ab|f7478c1c7366eeff157a60d7735699051c749baa1ad40c31c95698486bca4501
4499487998417942|05/31|Discover|833|Gold|718fc188-e389-4347-87dd-16555a83af45|0a53753debadf6b25a972c6cf597ad5c9d8a297bea15d7f5c70f90bb87845124
349750306662925|12/19|Maestro|169|Gold|a9227f8b-6a56-49e3-a5d1-1d36ffa5422a|3a7b8d9b557889c104d766db66c7f80dd18420ef7340e9ceab4c700801a8f852
4442721617272|11/13|Maestro|4016|Gold|86f1b63e-1b34-4308-b6a3-e5802d69131e|7bc04e46515e3edf6d9e86f6a5c8297eecd0e7a87ea63de5fb0911a0abdcf7e1
30564165177238|07/28|VISA 19 digit|467|Junior|fc25eb66-8517-4fb4-9249-bd3e510c448e|37be529a6405720f3fb4f254d831008b281edbcec2d532426b5d3e05a75c6ceb
6596455534885549|03/25|VISA 16 digit|857|Gold|935c75ee-8302-4d1e-affa-f2938f1caabe|76a2bbf756780cc4a27053ead5da1579690d9c3bf81348f5db0f121c985bbb27
6529603361994205|12/24|VISA 19 digit|174|Classic|1b21d26c-c34f-4c87-9c40-1b7636e8dc08|7e365651266e500f20dd09497440d5a46a6dc8e52e349db87e8576b6c43a23df
4649812922318|11/30|VISA 19 digit|049|Gold|85900753-4181-43a1-b7e0-a483ddd01e1d|c713a38e8d38054eb1079bd0e443951d665f926a2d6bedc933397403caa6dde2
4768863631074102522|12/25|VISA 16 digit|489|Gold|26e758b3-e2da-424b-ad2a-5fc3c90f468d|aef107a4569d80d44a1298c3e13264c672e6103d7da6944e6817761eedf55f68
4921604048848789|05/30|American Express|775|Gold|aa38990a-920f-424b-83ec-5525283f5089|45efcc027aa790d44ce0de94d9b917ee738da5846921cad3c05cbfc2a8a700cc
501877794617|03/15|JCB 16 digit|539|Gold|47c8b336-83c8-4801-9459-1dd479639118|722d1095ac5c5d7a329a3fcb8a4de0bcb61aefbf7385807b743c258fe2af3e40
4481481942594880|01/20|VISA 16 digit|263|Gold|ab8b9f5d-cdd1-425b-84f0-9e505f490e05|ea1b58177f524859a786b091d3a50f7af096837df8c8ac0164650e99dafd6ac8
30337474991270|04/27|VISA 13 digit|725|Classic|3812090b-8934-478d-a74d-76ea8ab89cb0|370326909b791de473a95e03b6ae051a96ef8ea9e96fcb551df09a3b2cdb6b44
6599045877800887|12/25|JCB 16 digit|203|Gold|d41a58a8-1f3b-47f4-92f1-ec9c10951496|532ac476ea7febf6d9fa890b83268235940b96a34faabe22cc756258677fbe7c
3561941157473018|01/23|Diners Club / Carte Blanche|037|Platinum|3843e98d-d524-4072-a0a7-6b98ef31014d|e14007570355703d9aed9b04311732d8ec9e9df15352d3ed265080e99034081f
