client_id|ssn|first_name|last_name|gender|street|city|state|zip|latitude|longitude|city_pop|job|dob|email|phonenum|profile
7b89296c-6dcb-4c50-8857-7eb1924770d3|143-78-5818|Jason|Serrano|M|2452 Tate Garden Suite 960|Tangier|VA|23440|-75.993|37.8245|727|Television floor manager|1986-12-25|jason.serrano@gmail.com|234.853.5876|adults_2550_male_rural.json
7b89296c-6dcb-4c50-8857-7eb1924770d3|143-78-5818|Jason|Serrano|M|2452 Tate Garden Suite 960|Tangier|VA|23440|-75.993|37.8245|727|Television floor manager|1986-12-25|jason.serrano@gmail.com|234.853.5876|adults_2550_male_rural.json
66b072b9-e5e2-40be-b621-03b4ac9e9032|052-45-1520|Brian|Gibson|M|76875 Hurst Square Suite 658|Baltimore|MD|21209|-76.6744|39.3716|635495|Scientist, research (medical)|1980-03-04|brian.gibson@gmail.com|001-359-039-9701x4634|adults_2550_male_urban.json
66b072b9-e5e2-40be-b621-03b4ac9e9032|052-45-1520|Brian|Gibson|M|76875 Hurst Square Suite 658|Baltimore|MD|21209|-76.6744|39.3716|635495|Scientist, research (medical)|1980-03-04|brian.gibson@gmail.com|001-359-039-9701x4634|adults_2550_male_urban.json
b8d9e5ea-cd14-40eb-9df4-e921b847f03e|625-48-4626|Charlotte|Jackson|F|039 Stephanie Fields|Pearl City|HI|96782|-157.9652|21.4084|40496|Teacher, early years/pre|1984-08-10|charlotte.jackson@hotmail.com|906.359.3895x090|adults_2550_female_urban.json
77ddb456-f69b-4ae6-8099-bc4ccf108ed3|655-40-4751|Matthew|Snow|M|979 Amanda Bridge Apt. 631|Keystone Heights|FL|32656|-81.9899|29.7976|14014|Sales professional, IT|1937-02-26|matthew.snow@hotmail.com|001-719-693-4513x98801|adults_50up_male_urban.json
77ddb456-f69b-4ae6-8099-bc4ccf108ed3|655-40-4751|Matthew|Snow|M|979 Amanda Bridge Apt. 631|Keystone Heights|FL|32656|-81.9899|29.7976|14014|Sales professional, IT|1937-02-26|matthew.snow@hotmail.com|001-719-693-4513x98801|adults_50up_male_urban.json
eee230a7-a29c-4ee2-8279-493993672832|882-89-6864|Shannon|Brooks|F|4772 Anthony Rest|Hector|MN|55342|-94.7058|44.7485|2015|Designer, exhibition/display|1982-02-18|shannon.brooks@yahoo.com|+1-258-720-7962x74378|adults_2550_female_rural.json
eee230a7-a29c-4ee2-8279-493993672832|882-89-6864|Shannon|Brooks|F|4772 Anthony Rest|Hector|MN|55342|-94.7058|44.7485|2015|Designer, exhibition/display|1982-02-18|shannon.brooks@yahoo.com|+1-258-720-7962x74378|adults_2550_female_rural.json
96cd38a3-4c91-4962-957e-8b563f75f88b|474-21-1204|Kim|Blevins|F|716 Karen Vista Suite 360|Enfield|NH|03748|-72.127|43.6256|4762|Producer, radio|1966-11-19|kim.blevins@yahoo.com|+1-976-482-7237x7976|adults_50up_female_urban.json
32f86bf3-49de-4ff8-925c-e443c1d59550|399-32-3320|Samuel|Henry|M|471 John Rue|Bolton|NC|28423|-78.3372|34.3091|2290|Ecologist|1998-07-19|samuel.henry@gmail.com|683.636.6335x723|young_adults_male_rural.json
71166ec4-0ea1-4477-a2d4-2f62dde2a319|742-43-5846|Stacey|Thornton|F|581 Sims Island Suite 662|York|PA|17408|-76.8018|39.9492|175624|Haematologist|1986-05-17|stacey.thornton@gmail.com|(892)075-6425|adults_2550_female_urban.json
71166ec4-0ea1-4477-a2d4-2f62dde2a319|742-43-5846|Stacey|Thornton|F|581 Sims Island Suite 662|York|PA|17408|-76.8018|39.9492|175624|Haematologist|1986-05-17|stacey.thornton@gmail.com|(892)075-6425|adults_2550_female_urban.json
3170f481-92e4-49c7-97b5-6be929780a77|302-66-2918|Leslie|Hernandez|F|406 Douglas Shoal Apt. 766|Rochester|NY|14605|-77.6007|43.1698|478127|Translator|1948-09-28|leslie.hernandez@hotmail.com|+1-009-246-3989x7635|adults_50up_female_urban.json
00248421-8ab1-446d-8e60-209b03fd60ac|679-60-5089|Carolyn|Cooper|F|53504 Tammy Haven Apt. 502|Sheridan|IN|46069|-86.2367|40.1104|6664|Teacher, secondary school|1982-12-14|carolyn.cooper@gmail.com|358-094-8686x975|adults_2550_female_urban.json
00248421-8ab1-446d-8e60-209b03fd60ac|679-60-5089|Carolyn|Cooper|F|53504 Tammy Haven Apt. 502|Sheridan|IN|46069|-86.2367|40.1104|6664|Teacher, secondary school|1982-12-14|carolyn.cooper@gmail.com|358-094-8686x975|adults_2550_female_urban.json
c199ece5-52f6-49a8-883c-44aea8e1eb72|099-34-0816|James|Frazier|M|83431 Lisa Centers|Marty|SD|57361|-98.4469|43.0196|198|Personnel officer|1953-06-09|james.frazier@yahoo.com|+1-801-264-0365x4798|adults_50up_male_rural.json
a644e379-2c40-4213-8ecc-4ea719b77f38|614-75-3443|Christina|Lynn|F|84538 Stephanie Flats Suite 798|Somes Bar|CA|95568|-123.4634|41.4533|136|Hydrographic surveyor|1976-08-22|christina.lynn@hotmail.com|050.484.1966x461|adults_2550_female_rural.json
e5a06364-2871-432c-924f-96a27ffcbe47|344-97-3500|Timothy|Jensen|M|77552 Andre Pines|Mineral Springs|NC|28108|-80.6404|34.9163|54|Quantity surveyor|1975-12-13|timothy.jensen@hotmail.com|642-264-0959x785|adults_2550_male_rural.json
ed6a591a-47f1-47fa-803e-b6a213d9a3d6|664-70-7743|Joseph|Weeks|M|39006 Duncan Harbor|Ridge|MD|20680|-76.3711|38.1169|1119|Proofreader|1945-03-16|joseph.weeks@hotmail.com|+1-859-182-5777x66973|adults_50up_male_rural.json
6142799a-f048-4d78-b428-16a6c74e1b1f|892-33-2537|Elizabeth|Russell|F|0611 Richard Meadows|Evans Mills|NY|13637|-75.8305|44.0817|4491|Sports development officer|1979-05-19|elizabeth.russell@gmail.com|(606)827-2579|adults_2550_female_urban.json
02946815-cc82-4830-afb1-a4bff101e12c|481-69-9329|Austin|Butler|M|882 Laura Ramp|Glenford|NY|12433|-74.1532|42.0053|483|Doctor, hospital|1930-04-10|austin.butler@hotmail.com|(929)617-5419|adults_50up_male_rural.json
02946815-cc82-4830-afb1-a4bff101e12c|481-69-9329|Austin|Butler|M|882 Laura Ramp|Glenford|NY|12433|-74.1532|42.0053|483|Doctor, hospital|1930-04-10|austin.butler@hotmail.com|(929)617-5419|adults_50up_male_rural.json
33ec7a7d-7be0-453a-bb96-84ef9e8272ee|280-60-4783|Debra|Johnson|F|0992 Scott Shoal Apt. 440|Bethalto|IL|62010|-90.0344|38.9074|11186|Surveyor, commercial/residential|1988-01-03|debra.johnson@hotmail.com|816.596.4510x678|adults_2550_female_urban.json
f0692e69-c1fe-4a10-974b-51570f9f0c74|371-74-6909|Joshua|Mann|M|82553 Goodman Ville Suite 192|Camden On Gauley|WV|26208|-80.5907|38.3871|973|Local government officer|1992-05-15|joshua.mann@hotmail.com|001-947-640-6469x5919|adults_2550_male_rural.json
c8d15e80-b20e-42e3-8c68-e8a1dd90b8b2|838-18-0119|David|Silva|M|580 Kristy Rapids Apt. 152|Fargo|ND|58103|-96.8123|46.8564|107957|Fashion designer|1949-07-27|david.silva@hotmail.com|601.045.8801x856|adults_50up_male_urban.json
e0f859e7-75e8-4996-8f4e-2c83824b221d|163-93-0836|Daniel|Quinn|M|436 Ruiz Run|Alva|FL|33920|-81.6351|26.7147|4947|Jewellery designer|1959-07-08|daniel.quinn@gmail.com|550.093.1089x3674|adults_50up_male_urban.json
